# 五、答案


## 真题1 答案

| 题号 | 答案 |
|------|------|
| 13 | C |
| 14 | A |
| 15 | B |
| 16 | C |
| 17 | D |
| 18 | B |
| 19 | A |
| 20 | D |


## 真题2 答案

| 题号 | 答案 |
|------|------|
| 36 | B |
| 37 | A |
| 38 | D |
| 39 | C |
| 40 | A |
| 41 | C |
| 42 | A |
| 43 | B |
| 44 | D |
| 45 | C |


## 真题3 答案

### (1)

| 题号 | 答案 |
|------|------|
| 1 | C |
| 2 | B |
| 3 | C |
| 4 | A |
| 5 | A |
| 6 | C |
| 7 | D |
| 8 | C |
| 9 | B |
| 10 | D |

### (2)

| 题号 | 答案 |
|------|------|
| 11 | A |
| 12 | D |
| 13 | C |
| 14 | A |
| 15 | B |
| 16 | B |
| 17 | D |
| 18 | D |
| 19 | B |
| 20 | A |


## 真题4 答案

### (1)

| 题号 | 答案 |
|------|------|
| 31 | D |
| 32 | C |
| 33 | B |
| 34 | D |
| 35 | B |
| 36 | A |
| 37 | A |
| 38 | C |
| 39 | C |
| 40 | D |

### (2)

| 题号 | 答案 |
|------|------|
| 41 | A |
| 42 | C |
| 43 | B |
| 44 | D |
| 45 | A |
| 46 | B |
| 47 | C |
| 48 | B |
| 49 | A |
| 50 | D |


## 真题5 答案

| 题号 | 答案 |
|------|------|
| 36 | C |
| 37 | C |
| 38 | B |
| 39 | A |
| 40 | D |
| 41 | A |
| 42 | B |
| 43 | A |
| 44 | D |
| 45 | C |
| 46 | B |
| 47 | C |
| 48 | A |
| 49 | D |
| 50 | D |


## 真题6 答案

| 题号 | 答案 |
|------|------|
| 41 | A |
| 42 | B |
| 43 | D |
| 44 | C |
| 45 | A |
| 46 | B |
| 47 | D |
| 48 | C |
| 49 | A |
| 50 | C |


## 真题7 答案

| 题号 | 答案 |
|------|------|
| 41 | C |
| 42 | A |
| 43 | D |
| 44 | A |
| 45 | B |
| 46 | D |
| 47 | C |
| 48 | B |
| 49 | C |
| 50 | A |
| 51 | C |
| 52 | D |
| 53 | B |
| 54 | D |
| 55 | B |


## 真题8 答案

| 题号 | 答案 |
|------|------|
| 11 | D |
| 12 | B |
| 13 | C |
| 14 | A |
| 15 | C |
| 16 | C |
| 17 | A |
| 18 | B |
